nivel,id_ambito_geografico,ubigeo_departamento,nombre_departamento,ubigeo_provincia,nombre_provincia,actasContabilizadas,contabilizadas,totalActas,participacionCiudadana,actasEnviadasJee,enviadasJee,actasPendientesJee,pendientesJee,fechaActualizacion,idUbigeoDepartamento,idUbigeoProvincia,idUbigeoDistrito,idUbigeoDistritoElectoral,totalVotosEmitidos,totalVotosValidos,porcentajeVotosEmitidos,porcentajeVotosValidos,error
provincia,1,030000,Apurímac,030500,Cotabambas,97.024,163,168,62.751,2.976,5,0.0,0,1777042806561,140000,140100,140101,15,28479,20266,100,100,
provincia,1,030000,Apurímac,030600,Grau,93.976,78,83,56.554,6.024,5,0.0,0,1777042806561,140000,140100,140101,15,12072,9145,100,100,
provincia,1,030000,Apurímac,030700,Chincheros,95.484,148,155,65.545,4.516,7,0.0,0,1777042806561,140000,140100,140101,15,27144,21176,100,100,
provincia,1,040000,Arequipa,040100,Arequipa,99.257,3206,3230,82.494,0.743,24,0.0,0,1777042806561,140000,140100,140101,15,784817,705636,100,100,
provincia,1,040000,Arequipa,040200,Caylloma,98.997,296,299,76.235,1.003,3,0.0,0,1777042806561,140000,140100,140101,15,64451,54526,100,100,
provincia,1,040000,Arequipa,040300,Camaná,96.154,175,182,73.719,3.846,7,0.0,0,1777042806561,140000,140100,140101,15,38817,32625,100,100,
provincia,1,040000,Arequipa,040400,Caravelí,100.0,116,116,72.75,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,23024,18900,100,100,
provincia,1,040000,Arequipa,040500,Castilla,100.0,106,106,67.634,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,19033,15349,100,100,
provincia,1,040000,Arequipa,040600,Condesuyos,92.727,51,55,56.86,7.273,4,0.0,0,1777042806561,140000,140100,140101,15,8384,6572,100,100,
provincia,1,040000,Arequipa,040700,Islay,93.82,167,178,73.487,6.18,11,0.0,0,1777042806561,140000,140100,140101,15,37779,32335,100,100,
provincia,1,040000,Arequipa,040800,La Unión,100.0,49,49,55.579,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,6685,4657,100,100,
provincia,1,050000,Ayacucho,050100,Huamanga,97.84,770,787,75.602,2.16,17,0.0,0,1777042806561,140000,140100,140101,15,170816,142791,100,100,
provincia,1,050000,Ayacucho,050200,Cangallo,100.0,112,112,64.004,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,18832,14332,100,100,
provincia,1,050000,Ayacucho,050300,Huanta,98.932,278,281,64.338,1.068,3,0.0,0,1777042806561,140000,140100,140101,15,50301,39411,100,100,
provincia,1,050000,Ayacucho,050400,La Mar,99.123,226,228,61.323,0.877,2,0.0,0,1777042806561,140000,140100,140101,15,37916,28343,100,100,
provincia,1,050000,Ayacucho,050500,Lucanas,100.0,158,158,60.771,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,24328,18686,100,100,
provincia,1,050000,Ayacucho,050700,Víctor Fajardo,100.0,80,80,54.286,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,11096,8371,100,100,
provincia,1,050000,Ayacucho,050600,Parinacochas,100.0,77,77,58.766,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,11933,9001,100,100,
provincia,1,050000,Ayacucho,050900,Vilcas Huamán,97.222,70,72,59.046,2.778,2,0.0,0,1777042806561,140000,140100,140101,15,11028,7934,100,100,
provincia,1,050000,Ayacucho,051000,Páucar Del Sara Sara,100.0,34,34,61.47,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,4933,3886,100,100,
provincia,1,050000,Ayacucho,050800,Huanca Sancos,100.0,34,34,58.89,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,4965,3886,100,100,
provincia,1,050000,Ayacucho,051100,Sucre,100.0,37,37,57.015,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,5104,3731,100,100,
provincia,1,060000,Cajamarca,060100,Cajamarca,98.041,1001,1021,76.684,1.959,20,0.0,0,1777042806561,140000,140100,140101,15,227577,183356,100,100,
provincia,1,060000,Cajamarca,060200,Cajabamba,97.727,215,220,62.267,2.273,5,0.0,0,1777042806561,140000,140100,140101,15,39321,26792,100,100,
provincia,1,060000,Cajamarca,060300,Celendín,94.815,256,270,55.603,5.185,14,0.0,0,1777042806561,140000,140100,140101,15,40367,30980,100,100,
provincia,1,060000,Cajamarca,060400,Contumaza,95.122,78,82,64.039,4.878,4,0.0,0,1777042806561,140000,140100,140101,15,14519,11188,100,100,
provincia,1,060000,Cajamarca,060600,Chota,95.914,446,465,62.489,4.086,19,0.0,0,1777042806561,140000,140100,140101,15,82466,66024,100,100,
provincia,1,060000,Cajamarca,060700,Hualgayoc,94.697,250,264,65.725,5.303,14,0.0,0,1777042806561,140000,140100,140101,15,50038,38096,100,100,
provincia,1,060000,Cajamarca,060800,Jaén,98.682,599,607,69.271,1.318,8,0.0,0,1777042806561,140000,140100,140101,15,119652,95903,100,100,
provincia,1,060000,Cajamarca,060500,Cutervo,97.113,370,381,58.915,2.887,11,0.0,0,1777042806561,140000,140100,140101,15,63594,48812,100,100,
provincia,1,060000,Cajamarca,060900,Santa Cruz,91.27,115,126,53.739,8.73,11,0.0,0,1777042806561,140000,140100,140101,15,18332,14444,100,100,
provincia,1,060000,Cajamarca,061000,San Miguel,95.625,153,160,63.988,4.375,7,0.0,0,1777042806561,140000,140100,140101,15,27133,20906,100,100,
