ubigeo,ambito,nombre,provincia,departamento,razon,actas_pct,donor_ubigeo,donor_nombre,scope
050905,1,Concepción,Vilcas Huamán,Ayacucho,0% actas contabilizadas,0.0,030711+050902+050901,Los Chankas+Vischongo+Vilcas Huamán,"centroide (12.3 km, 14.4 km, 15.8 km)"
050904,1,Carhuanca,Vilcas Huamán,Ayacucho,0% actas contabilizadas,0.0,051102+051103+050903,Belén+Chalcos+Accomarca,"centroide (8.0 km, 12.3 km, 14.2 km)"
050908,1,Independencia,Vilcas Huamán,Ayacucho,0% actas contabilizadas,0.0,050903+050708+050704,Accomarca+Hualla+Canaria,"centroide (6.5 km, 8.0 km, 8.4 km)"
050907,1,Saurama,Vilcas Huamán,Ayacucho,0% actas contabilizadas,0.0,030704+030707+051102,Cocharcas+Uranmarca+Belén,"centroide (9.7 km, 10.1 km, 12.6 km)"
060202,1,Cachachi,Cajabamba,Cajamarca,0% actas contabilizadas,0.0,061201+061207+060110,Pedro Gálvez+Chancay+Matara,"centroide (16.6 km, 17.4 km, 21.6 km)"
060205,1,Sitacocha,Cajabamba,Cajamarca,0% actas contabilizadas,0.0,120305+061207+061201,Marcabal+Chancay+Pedro Gálvez,"centroide (21.9 km, 22.4 km, 30.1 km)"
060201,1,Cajabamba,Cajabamba,Cajamarca,0% actas contabilizadas,0.0,120305+120301+120306,Marcabal+Huamachuco+Sanagorán,"centroide (9.3 km, 20.9 km, 21.0 km)"
060103,1,Cospan,Cajamarca,Cajamarca,0% actas contabilizadas,0.0,060112+121104+060109,San Juan+Sayapullo+Magdalena,"centroide (15.9 km, 20.6 km, 23.5 km)"
060301,1,Celendín,Celendín,Cajamarca,0% actas contabilizadas,0.0,060304+010403+060105,Huasmín+Cocabamba+Encañada,"centroide (11.7 km, 32.0 km, 33.1 km)"
060102,1,Asunción,Cajamarca,Cajamarca,0% actas contabilizadas,0.0,060112+060106+060109,San Juan+Jesús+Magdalena,"centroide (4.4 km, 17.6 km, 17.6 km)"
060203,1,Condebamba,Cajabamba,Cajamarca,0% actas contabilizadas,0.0,120305+061207+120306,Marcabal+Chancay+Sanagorán,"centroide (15.2 km, 21.5 km, 24.9 km)"
060305,1,Jorge Chávez,Celendín,Cajamarca,0% actas contabilizadas,0.0,060304+060105+061206,Huasmín+Encañada+José Sabogal,"centroide (20.5 km, 32.3 km, 35.0 km)"
060306,1,José Gálvez,Celendín,Cajamarca,0% actas contabilizadas,0.0,060304+060105+010403,Huasmín+Encañada+Cocabamba,"centroide (15.8 km, 29.5 km, 37.4 km)"
060312,1,La Libertad De Pallán,Celendín,Cajamarca,0% actas contabilizadas,0.0,060304+060701+060612,Huasmín+Bambamarca+Paccha,"centroide (13.3 km, 26.6 km, 29.6 km)"
060307,1,Miguel Iglesias,Celendín,Cajamarca,0% actas contabilizadas,0.0,060304+010403+010414,Huasmín+Cocabamba+Pisuquia,"centroide (20.9 km, 25.4 km, 26.8 km)"
