codigoMesa,sanchez,aliaga
021124,0,0
021131,78,1
021163,50,5
021179,35,5
021181,45,2
021190,82,4
021199,66,0
021203,78,2
021212,85,6
021243,22,1
021248,48,6
021258,1,5
021265,34,2
021279,18,7
021283,22,2
021300,24,4
021307,35,0
021315,28,2
021332,31,5
021340,2,1
021350,26,0
021353,50,0
021354,40,0
021368,46,1
021372,80,1
021373,105,1
021375,77,4
021383,37,1
021390,54,3
021403,56,6
021405,78,3
021409,84,2
021416,65,13
021439,44,3
021460,76,0
021461,78,1
021471,62,0
021472,7,1
021473,62,2
021483,33,3
021486,42,2
021515,54,3
021518,63,4
021520,39,4
021521,26,0
021532,75,5
021535,75,2
021536,84,0
021552,0,26
021577,10,36
021600,6,23
021606,7,29
021622,9,28
021625,11,33
021645,13,26
021652,4,36
021661,3,35
021672,10,21
021682,9,29
021698,6,28
021705,7,4
021709,9,36
021727,5,31
021745,9,35
021763,14,23
021779,6,31
021780,9,26
021796,8,21
021797,3,31
021799,11,28
021804,12,32
021810,5,38
021828,15,19
021842,9,25
021855,8,21
021858,7,23
021861,15,41
021888,2,33
021899,7,52
021901,10,37
021911,5,32
021941,9,19
021948,16,22
021951,8,34
021955,4,31
021972,8,18
021979,17,21
021984,15,48
022006,10,28
022018,6,39
022021,11,32
022024,10,25
022047,22,21
022057,22,12
022065,32,10
022066,26,13
022071,21,29
022083,13,9
022088,16,22
022117,21,10
022146,15,11
022155,15,11
022181,15,9
022193,22,21
022233,15,16
022266,15,21
022273,9,13
022279,13,0
022323,10,12
022337,10,17
022338,9,27
022339,13,37
022408,22,13
022428,12,11
022437,5,14
022440,9,17
022452,15,12
022460,28,11
022464,38,14
022497,8,13
022514,25,9
022519,16,15
022571,10,29
022596,17,19
022610,9,12
022630,15,13
022693,10,18
022709,7,9
022724,9,23
022729,6,15
022730,13,25
022737,11,21
022748,7,26
022760,5,9
022781,17,25
022807,12,29
022809,7,12
022836,3,28
022860,9,21
022871,6,19
022886,64,1
022909,9,15
022920,11,13
022921,23,10
022924,11,0
022926,16,17
022939,13,16
022944,14,6
022946,21,2
022949,24,0
022950,0,4
022958,18,6
022970,9,16
022976,9,16
023050,10,17
023051,4,17
023066,9,16
023083,11,12
023089,11,6
023120,4,16
023151,10,16
023155,14,3
023156,26,16
023179,27,22
023189,20,18
023191,24,11
023197,17,20
023202,19,16
023204,8,15
023209,11,17
023213,11,0
023221,11,16
023242,19,10
023256,12,10
023257,5,7
023295,13,24
023298,15,19
023304,9,18
023309,14,28
023311,24,19
023312,11,28
023330,28,14
023337,17,16
023341,15,13
023343,12,15
023369,19,14
023374,18,18
023376,13,14
023389,42,7
023397,14,14
023409,30,15
023410,16,17
023411,25,17
023438,14,8
023439,25,11
023449,23,16
023460,20,9
023466,32,6
023480,22,10
023483,32,8
023487,24,8
023502,30,10
023506,6,17
023519,8,22
023520,8,0
023534,8,23
023536,8,20
023538,10,2
023542,7,23
023546,6,2
023559,5,16
023560,10,14
023567,8,16
023568,7,22
023570,14,16
023578,2,15
023587,4,22
023595,14,6
023611,5,17
023621,16,18
023624,8,20
023625,10,23
023636,10,3
023637,8,24
023641,2,7
023659,7,29
023660,8,22
023673,10,17
023695,19,9
023696,34,7
023708,38,4
023709,56,4
023721,43,4
023735,38,4
023736,25,14
023738,31,6
023761,30,19
023785,6,20
023804,6,18
023806,16,1
023828,38,10
023877,14,6
023882,26,0
023884,16,6
023932,24,9
023934,14,11
023942,30,11
023946,23,13
023954,24,11
023964,37,10
023976,27,6
023977,28,2
024026,10,22
024035,10,19
024039,16,18
024042,9,34
024043,7,27
024044,7,25
024068,8,22
024102,11,19
024120,4,36
024130,12,19
024156,15,36
024250,14,8
024308,8,27
024374,19,28
024379,20,21
024422,19,18
024427,14,13
024442,24,5
024450,21,9
024480,24,14
024481,18,11
024538,3,13
024579,20,11
024694,6,34
024814,17,21
024818,13,38
024884,4,33
024894,5,27
024914,6,13
024974,10,20
025004,9,7
025017,6,15
025055,10,13
025057,10,24
025085,8,31
025087,3,25
025122,17,11
025199,22,8
025206,20,7
025215,34,2
025231,18,10
025233,29,10
025238,25,20
025267,22,10
025277,29,15
025278,17,12
025311,27,12
025377,20,17
025431,30,5
025435,25,5
025485,39,6
025488,28,15
025562,9,17
025566,14,14
025579,9,4
025587,37,4
025588,38,3
025630,37,5
025634,31,1
025640,15,14
025642,20,12
025645,19,15
025694,23,7
025702,2,6
025704,9,6
025731,11,11
025745,7,11
025789,14,7
025871,17,5
025915,25,6
025954,13,16
026039,7,16
026208,25,7
026209,36,12
026226,17,5
026321,12,4
026324,10,9
026396,38,20
026412,18,21
026417,2,21
026420,36,23
026425,25,11
026426,5,16
026434,25,19
026436,9,4
026468,15,14
026471,17,14
026474,26,9
026485,25,11
026491,24,8
026492,23,0
026514,60,13
026530,31,11
026587,32,7
026593,30,6
026601,56,3
026602,41,3
026624,39,17
026630,34,8
026631,7,11
026637,24,7
026659,41,7
026664,45,3
026672,21,0
026693,42,6
026708,0,3
026724,47,6
026735,33,4
026738,31,12
026742,39,1
026744,43,4
026758,53,10
026764,34,7
026773,39,7
026778,33,4
026780,0,11
026786,24,6
026797,28,13
026799,32,7
026807,20,0
026812,0,1
026818,2,1
026864,22,2
026874,11,22
026875,18,23
026888,13,27
026905,13,20
026910,8,13
026911,13,12
027005,12,16
027030,22,5
027042,41,3
027043,36,6
027044,45,5
027055,40,5
027077,17,2
027078,33,1
027080,29,4
027105,30,3
027114,24,4
027126,33,11
027158,51,9
027163,53,4
027164,43,5
027178,27,6
027317,15,18
027335,8,8
027358,28,10
027398,11,0
027437,13,3
027460,19,6
027465,24,2
027473,18,7
027494,2,54
027497,2,0
027498,5,28
027503,5,34
027506,2,30
027514,8,31
027524,4,28
027538,4,23
027540,3,28
027547,3,27
027555,6,26
027560,4,17
027596,2,26
027597,3,30
027611,5,39
027616,2,9
027621,3,32
027622,2,30
027655,1,34
027686,4,24
027725,2,36
027749,1,35
027750,3,33
027761,4,48
027768,6,44
027783,3,29
027835,7,36
027838,3,46
027843,2,37
027850,5,29
027871,6,28
027877,4,0
027947,3,29
027951,3,34
027959,4,38
027973,5,46
027979,7,38
027994,2,33
027996,6,37
028003,5,34
028004,4,36
028020,2,32
028063,2,26
028065,2,24
028094,3,46
028119,2,31
028122,2,26
028136,3,25
028172,4,29
028243,0,37
028258,3,30
028307,1,31
028338,4,24
028348,6,19
028358,5,43
028365,2,25
028368,4,8
028375,0,32
028379,5,39
028380,4,27
028384,4,30
028389,2,27
028392,2,30
028403,5,37
028431,2,35
028439,6,0
028453,8,27
028486,9,12
028497,1,11
028498,8,15
028547,3,13
028549,7,4
028554,10,11
028573,8,10
028604,9,18
028623,9,14
028633,15,6
028650,20,11
028651,1,15
028652,13,18
028653,16,11
028683,9,7
028711,8,8
028738,6,8
028747,3,15
028772,19,1
028777,1,6
028785,10,17
028790,6,7
028797,6,17
028812,5,11
028830,6,12
028831,3,6
028843,6,13
028871,9,15
028873,2,11
028874,8,16
028894,5,14
028901,4,16
028910,3,9
028955,8,10
028960,6,18
028969,9,0
028992,2,86
029000,1,27
029032,2,44
029033,3,2
029039,2,39
029043,5,36
029058,4,29
029111,4,42
029112,4,42
029136,5,38
029158,4,34
029177,5,53
029192,2,41
029194,2,46
029212,12,11
029247,6,13
029274,11,14
029309,11,13
029328,4,12
029336,0,7
029338,6,7
029342,8,11
029386,10,6
029408,14,7
029414,10,14
029416,5,4
029425,7,11
029439,4,6
029442,9,0
029500,7,13
029528,10,11
029545,6,10
029550,10,10
029571,3,14
029595,6,12
029598,6,11
029628,12,11
029629,9,2
029665,7,13
029695,6,16
029700,4,14
029731,3,8
029745,8,17
029754,5,18
029769,6,5
029832,5,18
029855,5,12
029932,3,16
029974,7,12
030024,3,12
030054,5,12
030055,6,11
030075,2,12
030077,8,14
030102,11,12
030143,9,8
030148,3,12
030182,2,11
030191,5,6
030193,9,12
030200,3,6
030212,7,7
030239,6,3
030264,12,0
030276,19,6
030279,18,4
030298,24,4
030304,24,3
030316,18,9
030317,18,2
030335,25,6
