id_ambito_geografico,ubigeo_distrito,nombre_distrito,ubigeo_provincia,nombre_provincia,ubigeo_departamento,nombre_departamento
1,020907,Musga,020900,Mariscal Luzuriaga,020000,Áncash
1,020901,Piscobamba,020900,Mariscal Luzuriaga,020000,Áncash
1,022001,Acas,022000,Ocros,020000,Áncash
1,022002,Cajamarquilla,022000,Ocros,020000,Áncash
1,022003,Carhuapampa,022000,Ocros,020000,Áncash
1,022004,Cochas,022000,Ocros,020000,Áncash
1,022005,Congas,022000,Ocros,020000,Áncash
1,022006,Llipa,022000,Ocros,020000,Áncash
1,022007,Ocros,022000,Ocros,020000,Áncash
1,022008,San Cristóbal De Rajan,022000,Ocros,020000,Áncash
1,022009,San Pedro,022000,Ocros,020000,Áncash
1,022010,Santiago De Chilcas,022000,Ocros,020000,Áncash
1,021002,Bolognesi,021000,Pallasca,020000,Áncash
1,021001,Cabana,021000,Pallasca,020000,Áncash
1,021003,Conchucos,021000,Pallasca,020000,Áncash
1,021004,Huacaschuque,021000,Pallasca,020000,Áncash
1,021005,Huandoval,021000,Pallasca,020000,Áncash
1,021006,Lacabamba,021000,Pallasca,020000,Áncash
1,021007,Llapo,021000,Pallasca,020000,Áncash
1,021008,Pallasca,021000,Pallasca,020000,Áncash
1,021009,Pampas,021000,Pallasca,020000,Áncash
1,021010,Santa Rosa,021000,Pallasca,020000,Áncash
1,021011,Tauca,021000,Pallasca,020000,Áncash
1,021102,Huayllan,021100,Pomabamba,020000,Áncash
1,021103,Parobamba,021100,Pomabamba,020000,Áncash
1,021101,Pomabamba,021100,Pomabamba,020000,Áncash
1,021104,Quinuabamba,021100,Pomabamba,020000,Áncash
1,021210,Catac,021200,Recuay,020000,Áncash
1,021202,Cotaparaco,021200,Recuay,020000,Áncash
1,021203,Huayllapampa,021200,Recuay,020000,Áncash
1,021209,Llacllin,021200,Recuay,020000,Áncash
1,021204,Marca,021200,Recuay,020000,Áncash
1,021205,Pampas Chico,021200,Recuay,020000,Áncash
1,021206,Pararin,021200,Recuay,020000,Áncash
1,021201,Recuay,021200,Recuay,020000,Áncash
1,021207,Tapacocha,021200,Recuay,020000,Áncash
1,021208,Ticapampa,021200,Recuay,020000,Áncash
1,021302,Caceres Del Perú,021300,Santa,020000,Áncash
1,021301,Chimbote,021300,Santa,020000,Áncash
1,021308,Coishco,021300,Santa,020000,Áncash
1,021303,Macate,021300,Santa,020000,Áncash
1,021304,Moro,021300,Santa,020000,Áncash
1,021305,Nepeña,021300,Santa,020000,Áncash
1,021309,Nuevo Chimbote,021300,Santa,020000,Áncash
1,021306,Samanco,021300,Santa,020000,Áncash
1,021307,Santa,021300,Santa,020000,Áncash
1,021407,Acobamba,021400,Sihuas,020000,Áncash
1,021402,Alfonso Ugarte,021400,Sihuas,020000,Áncash
1,021408,Cashapampa,021400,Sihuas,020000,Áncash
1,021403,Chingalpo,021400,Sihuas,020000,Áncash
1,021404,Huayllabamba,021400,Sihuas,020000,Áncash
1,021405,Quiches,021400,Sihuas,020000,Áncash
1,021409,Ragash,021400,Sihuas,020000,Áncash
1,021410,San Juan,021400,Sihuas,020000,Áncash
1,021406,Sicsibamba,021400,Sihuas,020000,Áncash
1,021401,Sihuas,021400,Sihuas,020000,Áncash
1,021502,Cascapara,021500,Yungay,020000,Áncash
1,021503,Mancos,021500,Yungay,020000,Áncash
1,021504,Matacoto,021500,Yungay,020000,Áncash
1,021505,Quillo,021500,Yungay,020000,Áncash
1,021506,Ranrahirca,021500,Yungay,020000,Áncash
1,021507,Shupluy,021500,Yungay,020000,Áncash
1,021508,Yanama,021500,Yungay,020000,Áncash
1,021501,Yungay,021500,Yungay,020000,Áncash
1,030101,Abancay,030100,Abancay,030000,Apurímac
1,030104,Chacoche,030100,Abancay,030000,Apurímac
1,030102,Circa,030100,Abancay,030000,Apurímac
1,030103,Curahuasi,030100,Abancay,030000,Apurímac
1,030105,Huanipaca,030100,Abancay,030000,Apurímac
1,030106,Lambrama,030100,Abancay,030000,Apurímac
1,030107,Pichirhua,030100,Abancay,030000,Apurímac
1,030108,San Pedro De Cachora,030100,Abancay,030000,Apurímac
1,030109,Tamburco,030100,Abancay,030000,Apurímac
1,030301,Andahuaylas,030300,Andahuaylas,030000,Apurímac
1,030302,Andarapa,030300,Andahuaylas,030000,Apurímac
1,030303,Chiara,030300,Andahuaylas,030000,Apurímac
1,030304,Huancarama,030300,Andahuaylas,030000,Apurímac
1,030305,Huancaray,030300,Andahuaylas,030000,Apurímac
1,030317,Huayana,030300,Andahuaylas,030000,Apurímac
1,030320,José Maria Arguedas,030300,Andahuaylas,030000,Apurímac
1,030319,Kaquiabamba,030300,Andahuaylas,030000,Apurímac
1,030306,Kishuara,030300,Andahuaylas,030000,Apurímac
1,030307,Pacobamba,030300,Andahuaylas,030000,Apurímac
1,030313,Pacucha,030300,Andahuaylas,030000,Apurímac
1,030308,Pampachiri,030300,Andahuaylas,030000,Apurímac
1,030314,Pomacocha,030300,Andahuaylas,030000,Apurímac
1,030309,San Antonio De Cachi,030300,Andahuaylas,030000,Apurímac
1,030310,San Jerónimo,030300,Andahuaylas,030000,Apurímac
1,030318,San Miguel De Chaccrampa,030300,Andahuaylas,030000,Apurímac
1,030315,Santa María De Chicmo,030300,Andahuaylas,030000,Apurímac
1,030311,Talavera,030300,Andahuaylas,030000,Apurímac
1,030316,Tumay Huaraca,030300,Andahuaylas,030000,Apurímac
1,030312,Turpo,030300,Andahuaylas,030000,Apurímac
1,030401,Antabamba,030400,Antabamba,030000,Apurímac
1,030402,El Oro,030400,Antabamba,030000,Apurímac
1,030403,Huaquirca,030400,Antabamba,030000,Apurímac
1,030404,Juan Espinoza Medrano,030400,Antabamba,030000,Apurímac
1,030405,Oropesa,030400,Antabamba,030000,Apurímac
1,030406,Pachaconas,030400,Antabamba,030000,Apurímac
1,030407,Sabaino,030400,Antabamba,030000,Apurímac
1,030202,Capaya,030200,Aymaraes,030000,Apurímac
1,030203,Caraybamba,030200,Aymaraes,030000,Apurímac
1,030201,Chalhuanca,030200,Aymaraes,030000,Apurímac
1,030206,Chapimarca,030200,Aymaraes,030000,Apurímac
1,030204,Colcabamba,030200,Aymaraes,030000,Apurímac
1,030205,Cotaruse,030200,Aymaraes,030000,Apurímac
1,030207,Ihuayllo,030200,Aymaraes,030000,Apurímac
1,030217,Justo Apu Sahuaraura,030200,Aymaraes,030000,Apurímac
1,030208,Lucre,030200,Aymaraes,030000,Apurímac
1,030209,Pocohuanca,030200,Aymaraes,030000,Apurímac
